size threads sequential_time parallel_time builtin_time
460 8 0.000050 0.009654 0.000161
160 8 0.000016 0.007150 0.000068
500 4 0.000061 0.003859 0.000198
980 8 0.000116 0.010193 0.000282
480 4 0.000056 0.003174 0.000183
420 2 0.000052 0.000763 0.000142
340 2 0.000036 0.000582 0.000121
260 4 0.000031 0.003926 0.000107
740 32 0.000087 0.038943 0.000246
580 16 0.000056 0.018732 0.000163
340 32 0.000036 0.045717 0.000147
980 2 0.000111 0.001306 0.000342
540 16 0.000062 0.020287 0.000194
500 32 0.000054 0.047139 0.000160
180 2 0.000023 0.001334 0.000106
860 2 0.000098 0.000383 0.000272
360 32 0.000037 0.036696 0.000116
20 4 0.000002 0.002765 0.000003
240 4 0.000027 0.003164 0.000105
200 8 0.000022 0.009210 0.000096
520 16 0.000059 0.018528 0.000190
460 2 0.000054 0.000604 0.000166
440 4 0.000053 0.003389 0.000185
420 16 0.000045 0.023335 0.000151
340 8 0.000038 0.009771 0.000126
460 32 0.000049 0.040920 0.000164
900 32 0.000109 0.045160 0.000314
660 8 0.000071 0.010023 0.000225
480 2 0.000061 0.001464 0.000170
820 8 0.000092 0.008260 0.000255
160 16 0.000016 0.021704 0.000078
320 4 0.000031 0.002092 0.000123
680 4 0.000076 0.003651 0.000215
380 2 0.000048 0.001104 0.000127
400 16 0.000041 0.020568 0.000127
520 8 0.000058 0.011032 0.000178
360 2 0.000044 0.001181 0.000145
620 8 0.000077 0.010399 0.000225
640 2 0.000083 0.000965 0.000211
760 32 0.000085 0.037599 0.000237
380 32 0.000040 0.031181 0.000146
600 2 0.000071 0.000708 0.000221
920 2 0.000102 0.000759 0.000281
340 16 0.000033 0.022812 0.000142
320 8 0.000036 0.010063 0.000119
120 8 0.000012 0.009719 0.000024
1000 32 0.000114 0.044507 0.000322
440 2 0.000051 0.000549 0.000153
1000 2 0.000082 0.000782 0.000247
220 32 0.000026 0.037698 0.000092
600 8 0.000071 0.009282 0.000218
220 2 0.000031 0.001212 0.000110
940 16 0.000115 0.023768 0.000341
800 2 0.000089 0.000537 0.000255
960 32 0.000113 0.045389 0.000313
640 4 0.000075 0.003581 0.000228
840 2 0.000096 0.001218 0.000290
60 4 0.000006 0.003810 0.000012
260 32 0.000026 0.031137 0.000108
200 16 0.000024 0.023660 0.000127
560 2 0.000063 0.000934 0.000192
140 16 0.000014 0.020379 0.000090
580 8 0.000063 0.009450 0.000172
640 32 0.000069 0.041639 0.000201
400 4 0.000043 0.004225 0.000147
640 16 0.000068 0.023588 0.000203
320 16 0.000032 0.021822 0.000111
780 4 0.000088 0.003605 0.000245
200 2 0.000020 0.001003 0.000080
280 8 0.000030 0.009062 0.000105
660 4 0.000064 0.004035 0.000204
200 32 0.000020 0.034179 0.000088
100 16 0.000010 0.019957 0.000020
880 4 0.000121 0.003678 0.000297
500 16 0.000054 0.019816 0.000153
60 2 0.000006 0.001012 0.000013
440 32 0.000048 0.042084 0.000155
640 8 0.000071 0.010311 0.000214
320 32 0.000032 0.029883 0.000110
980 16 0.000119 0.022546 0.000351
720 32 0.000080 0.036512 0.000225
300 8 0.000032 0.010492 0.000113
740 2 0.000086 0.001096 0.000270
500 16 0.000058 0.019777 0.000190
160 8 0.000017 0.010427 0.000070
900 16 0.000101 0.026185 0.000264
100 32 0.000010 0.029593 0.000021
600 16 0.000063 0.022216 0.000199
100 4 0.000010 0.004038 0.000024
520 32 0.000061 0.039857 0.000189
700 2 0.000091 0.000943 0.000232
920 2 0.000117 0.001164 0.000312
880 4 0.000103 0.003633 0.000300
700 8 0.000082 0.010618 0.000228
320 32 0.000032 0.042832 0.000111
340 2 0.000045 0.000941 0.000122
420 4 0.000042 0.004183 0.000136
120 8 0.000013 0.009280 0.000028
80 16 0.000009 0.014521 0.000019
300 32 0.000032 0.043103 0.000118
300 4 0.000033 0.003163 0.000137
1000 8 0.000107 0.010172 0.000326
160 2 0.000016 0.000940 0.000080
580 4 0.000066 0.004028 0.000196
840 32 0.000125 0.047818 0.000302
60 4 0.000006 0.003591 0.000012
920 8 0.000109 0.009960 0.000315
100 2 0.000012 0.000710 0.000024
700 4 0.000081 0.003781 0.000257
420 16 0.000042 0.021236 0.000144
240 16 0.000026 0.020238 0.000088
820 32 0.000092 0.033828 0.000242
860 16 0.000099 0.024934 0.000252
720 2 0.000081 0.000595 0.000230
40 16 0.000004 0.011832 0.000007
200 2 0.000020 0.000872 0.000081
800 4 0.000090 0.003931 0.000261
520 2 0.000067 0.001083 0.000214
540 32 0.000059 0.042787 0.000187
400 32 0.000044 0.029778 0.000147
280 2 0.000036 0.000903 0.000113
600 4 0.000075 0.003700 0.000219
180 32 0.000017 0.035747 0.000082
460 16 0.000051 0.019064 0.000170
840 16 0.000096 0.021621 0.000246
700 16 0.000063 0.021448 0.000204
740 2 0.000092 0.001018 0.000238
