size threads sequential_time parallel_time builtin_time
500000 4 0.066774 0.060151 0.187093
300000 2 0.040283 0.034388 0.107865
850000 32 0.118013 0.114961 0.334907
300000 16 0.040211 0.043712 0.108648
350000 8 0.047070 0.043643 0.128354
550000 2 0.074103 0.064814 0.208048
400000 4 0.053083 0.045618 0.146169
800000 32 0.110623 0.109617 0.313129
650000 16 0.089114 0.080586 0.249064
750000 4 0.102308 0.084151 0.289424
700000 2 0.095714 0.081823 0.271670
300000 8 0.039289 0.037598 0.108971
250000 2 0.032794 0.028195 0.088843
600000 32 0.081886 0.094380 0.229678
100000 32 0.012805 0.049654 0.035402
500000 16 0.068039 0.068104 0.191178
100000 4 0.013045 0.011629 0.034588
50000 4 0.005617 0.007641 0.016213
400000 16 0.052641 0.056813 0.146529
800000 16 0.110042 0.095812 0.309407
750000 16 0.102075 0.089837 0.289995
750000 8 0.103783 0.087164 0.291581
800000 2 0.110755 0.097269 0.310067
400000 32 0.053620 0.075217 0.147448
600000 2 0.080894 0.072546 0.233740
750000 32 0.103478 0.100318 0.290070
450000 32 0.061762 0.077730 0.173814
850000 2 0.117423 0.104067 0.333252
700000 32 0.095904 0.097863 0.271346
1000000 2 0.139223 0.129554 0.397858
800000 8 0.110545 0.097502 0.310037
950000 32 0.133220 0.129242 0.376757
300000 32 0.038715 0.065456 0.109901
600000 4 0.081598 0.069482 0.228244
950000 16 0.132011 0.115695 0.373682
50000 2 0.007436 0.007253 0.016421
650000 4 0.088836 0.073541 0.250449
900000 4 0.124699 0.104701 0.353894
550000 16 0.073891 0.072364 0.207885
200000 4 0.026222 0.022618 0.069052
500000 2 0.068390 0.061846 0.186668
200000 32 0.025445 0.060340 0.069693
850000 4 0.118119 0.098157 0.332234
500000 8 0.067088 0.055394 0.188666
350000 2 0.045824 0.040924 0.127670
800000 4 0.114222 0.088765 0.309496
200000 2 0.025729 0.023317 0.069496
400000 16 0.054178 0.051970 0.146318
700000 32 0.096456 0.103375 0.269091
800000 8 0.110845 0.091769 0.311839
250000 16 0.032405 0.037873 0.091567
150000 2 0.018393 0.018122 0.050749
750000 32 0.102642 0.105861 0.289400
400000 2 0.052696 0.047249 0.150421
400000 8 0.054862 0.053664 0.146827
100000 2 0.012872 0.013472 0.033436
550000 8 0.073522 0.068061 0.207849
300000 8 0.039969 0.039242 0.107623
950000 4 0.133028 0.112509 0.373671
400000 32 0.053155 0.076333 0.148464
350000 4 0.046046 0.040162 0.129269
950000 2 0.132377 0.115489 0.379407
1000000 2 0.138985 0.115653 0.395741
700000 2 0.097892 0.082508 0.269232
150000 8 0.018474 0.024970 0.051620
100000 4 0.012747 0.012565 0.032963
300000 4 0.040682 0.037728 0.109245
1000000 4 0.140204 0.115896 0.395396
900000 2 0.125705 0.105847 0.362351
450000 8 0.060360 0.053202 0.167898
900000 8 0.125791 0.104549 0.354762
650000 32 0.088785 0.092170 0.248942
850000 32 0.118126 0.114061 0.332943
1000000 16 0.138718 0.120125 0.394402
600000 16 0.081455 0.078246 0.227673
350000 16 0.046914 0.050807 0.128183
250000 32 0.031545 0.055575 0.089346
50000 8 0.006532 0.012344 0.016729
850000 8 0.117653 0.095902 0.331823
200000 4 0.024979 0.022925 0.069929
600000 8 0.081225 0.074704 0.228344
450000 16 0.059975 0.060703 0.167218
250000 8 0.031809 0.032275 0.089616
700000 8 0.096610 0.081464 0.270223
800000 2 0.110873 0.092981 0.309759
850000 2 0.117815 0.104665 0.333626
550000 4 0.074302 0.067498 0.207896
500000 16 0.066688 0.064424 0.188035
