size threads sequential_time parallel_time builtin_time
1000000 4 0.114840
7000000 4 0.798887
10000000 8 1.145399
3000000 8 0.352006
5000000 4 0.596544
8000000 8 0.968272
5000000 8 0.588689
7000000 8 0.805058
4000000 4 0.467313
9000000 8 1.090377
8000000 4 0.977498
6000000 8 0.736010
9000000 4 1.141802
2000000 4 0.231915
10000000 4 1.197308
1000000 8 0.119234
3000000 4 0.374725
6000000 4 0.674702
4000000 8 0.461907
2000000 8 0.225464
10000000 8 1.276458
6000000 8 0.714517
1000000 8 0.120868
6000000 4 0.737650
3000000 4 0.342031
8000000 4 1.016041
5000000 8 0.578502
9000000 4 1.054835
1000000 4 0.115916
7000000 4 0.864628
4000000 8 0.454194
8000000 8 0.966212
9000000 8 1.184869
4000000 4 0.496856
5000000 4 0.590348
2000000 8 0.236143
10000000 4 1.323852
3000000 8 0.340123
2000000 4 0.247994
7000000 8 0.823945
4000000 8 0.471070
7000000 8 0.942684
10000000 4 1.248741
3000000 8 0.346648
2000000 8 0.230446
5000000 4 0.597868
1000000 8 0.119568
4000000 4 0.483600
1000000 4 0.119178
9000000 4 1.062422
10000000 8 1.203333
7000000 4 0.872158
3000000 4 0.364464
6000000 4 0.709334
8000000 4 0.997937
9000000 8 1.062453
2000000 4 0.229876
8000000 8 0.945563
5000000 8 0.568203
6000000 8 0.718994
10000000 4 1.157779
5000000 4 0.624723
4000000 4 0.475349
10000000 8 1.152682
8000000 4 0.975516
7000000 4 0.927063
6000000 4 0.675066
4000000 8 0.444517
5000000 8 0.580881
3000000 8 0.351524
1000000 4 0.121667
9000000 4 1.031096
2000000 8 0.218167
8000000 8 0.923420
9000000 8 1.081701
1000000 8 0.116763
7000000 8 0.919803
2000000 4 0.251067
6000000 8 0.674227
3000000 4 0.348227
1000000 8 0.114724
8000000 4 1.042515
3000000 4 0.358646
2000000 8 0.224829
6000000 4 0.720981
4000000 4 0.465169
7000000 4 0.897651
9000000 4 1.093118
6000000 8 0.706032
4000000 8 0.465708
2000000 4 0.231551
1000000 4 0.114970
5000000 8 0.610033
8000000 8 0.919576
10000000 8 1.192822
5000000 4 0.606881
7000000 8 0.833985
3000000 8 0.347684
10000000 4 1.170935
9000000 8 1.045223
