size threads sequential_time parallel_time builtin_time
460 8 0.000035 0.001481 0.000137
160 8 0.000011 0.000757 0.000044
500 4 0.000034 0.000353 0.000111
980 8 0.000080 0.001582 0.000310
480 4 0.000032 0.000353 0.000140
420 2 0.000032 0.000182 0.000124
340 2 0.000025 0.000164 0.000098
260 4 0.000016 0.000342 0.000075
740 32 0.000052 0.002922 0.000229
580 16 0.000043 0.001375 0.000111
340 32 0.000025 0.002313 0.000106
980 2 0.000079 0.000222 0.000309
540 16 0.000043 0.001375 0.000167
500 32 0.000034 0.003413 0.000113
180 2 0.000013 0.000155 0.000059
860 2 0.000069 0.000213 0.000264
360 32 0.000026 0.002963 0.000113
20 4 0.000002 0.000258 0.000003
240 4 0.000016 0.000407 0.000066
200 8 0.000015 0.001728 0.000057
520 16 0.000054 0.004549 0.000211
460 2 0.000035 0.000188 0.000138
440 4 0.000029 0.000374 0.000097
420 16 0.000032 0.001796 0.000126
340 8 0.000026 0.000848 0.000101
460 32 0.000035 0.002440 0.000141
900 32 0.000070 0.003792 0.000220
660 8 0.000052 0.000876 0.000205
480 2 0.000033 0.000178 0.000140
820 8 0.000063 0.000630 0.000223
160 16 0.000012 0.001368 0.000046
320 4 0.000024 0.000380 0.000095
680 4 0.000054 0.000395 0.000205
380 2 0.000025 0.000189 0.000086
400 16 0.000031 0.001306 0.000102
520 8 0.000041 0.000815 0.000162
360 2 0.000026 0.000149 0.000108
620 8 0.000066 0.000883 0.000216
640 2 0.000083 0.000301 0.000290
760 32 0.000065 0.003659 0.000237
380 32 0.000025 0.003897 0.000089
600 2 0.000047 0.000232 0.000185
920 2 0.000074 0.000220 0.000286
340 16 0.000026 0.001162 0.000100
320 8 0.000024 0.000777 0.000095
120 8 0.000008 0.000686 0.000025
1000 32 0.000082 0.003701 0.000323
440 2 0.000030 0.000179 0.000102
1000 2 0.000081 0.000311 0.000313
220 32 0.000014 0.002437 0.000059
600 8 0.000047 0.000783 0.000188
220 2 0.000014 0.000167 0.000059
940 16 0.000077 0.003316 0.000298
800 2 0.000063 0.000210 0.000222
960 32 0.000072 0.002613 0.000257
640 4 0.000050 0.000361 0.000200
840 2 0.000055 0.000204 0.000223
60 4 0.000004 0.000313 0.000010
260 32 0.000016 0.003263 0.000083
200 16 0.000013 0.001762 0.000052
560 2 0.000044 0.000186 0.000171
140 16 0.000009 0.001521 0.000046
580 8 0.000043 0.000838 0.000111
640 32 0.000051 0.002723 0.000205
400 4 0.000030 0.000430 0.000104
640 16 0.000051 0.001356 0.000198
320 16 0.000024 0.001317 0.000095
780 4 0.000059 0.000382 0.000211
200 2 0.000013 0.000158 0.000048
280 8 0.000020 0.000925 0.000071
660 4 0.000052 0.000377 0.000207
200 32 0.000013 0.001912 0.000047
100 16 0.000007 0.001116 0.000016
880 4 0.000063 0.000368 0.000276
500 16 0.000043 0.001225 0.000114
60 2 0.000004 0.000130 0.000010
440 32 0.000029 0.002364 0.000102
640 8 0.000051 0.000822 0.000197
320 32 0.000024 0.002459 0.000099
980 16 0.000080 0.001696 0.000311
720 32 0.000058 0.002615 0.000233
300 8 0.000023 0.000868 0.000092
740 2 0.000053 0.000196 0.000226
500 16 0.000034 0.001378 0.000111
160 8 0.000011 0.000709 0.000047
900 16 0.000069 0.001977 0.000207
100 32 0.000007 0.001512 0.000016
600 16 0.000047 0.001464 0.000188
100 4 0.000010 0.000378 0.000016
520 32 0.000040 0.005277 0.000160
700 2 0.000052 0.000197 0.000188
920 2 0.000083 0.000244 0.000334
880 4 0.000063 0.000407 0.000277
700 8 0.000053 0.000755 0.000184
320 32 0.000024 0.003120 0.000102
340 2 0.000026 0.000191 0.000103
420 4 0.000032 0.000414 0.000125
120 8 0.000008 0.000759 0.000025
80 16 0.000005 0.001024 0.000016
300 32 0.000022 0.002229 0.000094
300 4 0.000023 0.000399 0.000099
1000 8 0.000081 0.000816 0.000314
160 2 0.000012 0.000185 0.000046
580 4 0.000044 0.000372 0.000169
840 32 0.000056 0.002768 0.000229
60 4 0.000004 0.000308 0.000010
920 8 0.000074 0.000776 0.000292
100 2 0.000007 0.000149 0.000016
700 4 0.000053 0.000386 0.000187
420 16 0.000032 0.001353 0.000126
240 16 0.000015 0.003284 0.000066
820 32 0.000062 0.002947 0.000222
860 16 0.000070 0.001453 0.000274
720 2 0.000061 0.000201 0.000217
40 16 0.000003 0.000864 0.000006
200 2 0.000013 0.000164 0.000051
800 4 0.000060 0.000391 0.000214
520 2 0.000040 0.000194 0.000154
540 32 0.000046 0.002764 0.000169
400 32 0.000030 0.002322 0.000106
280 2 0.000020 0.000173 0.000080
600 4 0.000047 0.000425 0.000181
180 32 0.000013 0.002243 0.000059
460 16 0.000036 0.001201 0.000141
840 16 0.000056 0.001985 0.000245
700 16 0.000052 0.001506 0.000189
740 2 0.000052 0.000210 0.000232
940 8 0.000075 0.000745 0.000292
20 4 0.000002 0.000265 0.000002
680 2 0.000053 0.000185 0.000207
40 8 0.000003 0.000627 0.000006
600 2 0.000047 0.000194 0.000186
740 16 0.000052 0.001342 0.000229
440 16 0.000029 0.001486 0.000100
280 4 0.000020 0.000382 0.000076
760 8 0.000057 0.001596 0.000231
640 32 0.000051 0.002371 0.000201
60 2 0.000004 0.000157 0.000010
180 4 0.000013 0.000415 0.000056
320 8 0.000023 0.000717 0.000094
140 32 0.000010 0.001974 0.000046
320 4 0.000024 0.000461 0.000097
780 4 0.000076 0.001646 0.000206
360 32 0.000026 0.002371 0.000111
900 8 0.000068 0.000737 0.000212
360 4 0.000026 0.000319 0.000107
220 2 0.000014 0.000211 0.000057
820 4 0.000062 0.000342 0.000219
380 4 0.000026 0.000337 0.000084
40 4 0.000003 0.000301 0.000006
180 8 0.000013 0.000651 0.000068
340 16 0.000025 0.001395 0.000101
960 8 0.000073 0.000837 0.000260
660 4 0.000052 0.000441 0.000201
420 2 0.000032 0.000174 0.000121
640 8 0.000054 0.000722 0.000192
960 2 0.000073 0.000225 0.000257
980 4 0.000079 0.000397 0.000306
880 16 0.000075 0.002272 0.000407
620 8 0.000049 0.000711 0.000188
920 4 0.000073 0.000368 0.000286
140 8 0.000009 0.000696 0.000043
60 32 0.000005 0.001529 0.000010
760 2 0.000057 0.000221 0.000238
660 32 0.000052 0.003602 0.000205
460 32 0.000035 0.002124 0.000140
380 16 0.000026 0.003871 0.000087
500 32 0.000034 0.002361 0.000113
900 32 0.000069 0.006085 0.000214
960 32 0.000086 0.003283 0.000357
20 16 0.000002 0.000775 0.000003
800 2 0.000060 0.000233 0.000247
240 8 0.000016 0.000785 0.000063
820 8 0.000062 0.000583 0.000219
860 4 0.000070 0.000390 0.000263
300 8 0.000023 0.000658 0.000087
440 8 0.000029 0.000796 0.000098
1000 16 0.000081 0.002533 0.000314
400 8 0.000030 0.000732 0.000104
480 16 0.000033 0.001287 0.000145
240 2 0.000016 0.000155 0.000064
100 16 0.000007 0.001464 0.000016
400 16 0.000030 0.002467 0.000108
480 2 0.000033 0.000196 0.000144
640 2 0.000050 0.000253 0.000194
140 2 0.000010 0.000153 0.000043
260 4 0.000016 0.000368 0.000078
560 32 0.000044 0.002211 0.000173
220 4 0.000014 0.000322 0.000062
940 4 0.000079 0.000377 0.000295
120 2 0.000009 0.000160 0.000026
580 8 0.000043 0.000802 0.000109
680 8 0.000054 0.000782 0.000206
960 16 0.000073 0.001484 0.000257
240 32 0.000016 0.001851 0.000066
400 2 0.000031 0.000170 0.000109
320 2 0.000024 0.000160 0.000092
720 4 0.000057 0.000362 0.000218
200 4 0.000013 0.000345 0.000050
260 2 0.000016 0.000163 0.000077
220 32 0.000017 0.002478 0.000074
120 16 0.000010 0.001353 0.000026
340 32 0.000025 0.002250 0.000105
80 32 0.000005 0.001456 0.000015
20 2 0.000002 0.000148 0.000002
60 8 0.000004 0.000645 0.000010
540 4 0.000042 0.000365 0.000168
520 4 0.000040 0.000830 0.000156
80 4 0.000006 0.000333 0.000014
300 16 0.000022 0.001290 0.000089
660 2 0.000052 0.000207 0.000201
420 8 0.000032 0.000762 0.000122
600 8 0.000046 0.000703 0.000185
740 4 0.000052 0.000389 0.000225
820 16 0.000061 0.001136 0.000216
580 2 0.000043 0.000192 0.000109
520 16 0.000040 0.001438 0.000157
760 4 0.000057 0.000341 0.000238
360 2 0.000025 0.000176 0.000105
300 2 0.000023 0.000160 0.000086
840 4 0.000056 0.000442 0.000224
700 32 0.000052 0.004081 0.000184
220 8 0.000014 0.000765 0.000063
40 32 0.000003 0.001126 0.000006
760 16 0.000058 0.001164 0.000236
380 32 0.000025 0.002395 0.000085
200 8 0.000012 0.000659 0.000053
900 4 0.000068 0.000396 0.000209
1000 4 0.000081 0.000358 0.000312
120 32 0.000008 0.001790 0.000025
660 16 0.000052 0.004577 0.000204
560 16 0.000043 0.003284 0.000170
540 2 0.000042 0.000188 0.000161
480 4 0.000039 0.000471 0.000166
880 8 0.000094 0.000994 0.000409
980 16 0.000080 0.001497 0.000307
740 32 0.000053 0.002431 0.000229
440 32 0.000029 0.002753 0.000103
800 16 0.000061 0.001334 0.000225
80 2 0.000006 0.000163 0.000014
260 32 0.000016 0.002145 0.000082
660 8 0.000052 0.000831 0.000203
280 8 0.000020 0.000733 0.000071
680 32 0.000055 0.004496 0.000212
440 4 0.000034 0.000331 0.000098
