size threads sequential_time parallel_time builtin_time
500000 4 0.062252 0.053357 0.249025
300000 2 0.037810 0.034441 0.169346
850000 32 0.109469 0.094249 0.443522
300000 16 0.036377 0.032902 0.169604
350000 8 0.043153 0.039393 0.199019
550000 2 0.069098 0.059138 0.325150
400000 4 0.047416 0.042602 0.229951
800000 32 0.102867 0.089400 0.340055
650000 16 0.079486 0.069872 0.273909
750000 4 0.092333 0.081951 0.455332
700000 2 0.090704 0.077673 0.361084
300000 8 0.038754 0.032084 0.169510
250000 2 0.027500 0.027682 0.117711
600000 32 0.075615 0.066521 0.358679
100000 32 0.011411 0.013142 0.050974
500000 16 0.062474 0.053496 0.250389
100000 4 0.011410 0.010508 0.051205
50000 4 0.004679 0.005438 0.016623
400000 16 0.047220 0.043091 0.230164
800000 16 0.102969 0.087322 0.337875
750000 16 0.092418 0.084407 0.457051
750000 8 0.093699 0.079975 0.454646
800000 2 0.103339 0.093362 0.351946
400000 32 0.047012 0.044044 0.230573
600000 2 0.075554 0.065188 0.359342
750000 32 0.092470 0.081903 0.462690
450000 32 0.056856 0.049706 0.262185
850000 2 0.109824 0.092440 0.442047
700000 32 0.089586 0.078369 0.357963
1000000 2 0.120371 0.114100 0.531461
800000 8 0.104449 0.088168 0.339886
950000 32 0.124268 0.107422 0.499265
300000 32 0.036594 0.033672 0.170284
600000 4 0.075761 0.065485 0.357452
950000 16 0.124398 0.105052 0.501809
50000 2 0.004688 0.005251 0.017168
650000 4 0.079272 0.068070 0.272604
900000 4 0.111873 0.103601 0.383744
550000 16 0.069219 0.060295 0.326874
200000 4 0.020574 0.021293 0.091603
500000 2 0.063838 0.054353 0.248436
200000 32 0.020566 0.022711 0.092767
850000 4 0.110942 0.093132 0.442876
500000 8 0.062436 0.053701 0.249448
350000 2 0.042933 0.037724 0.198906
800000 4 0.102829 0.090076 0.341926
200000 2 0.020577 0.021698 0.092468
400000 16 0.047156 0.044494 0.230869
700000 32 0.089781 0.080233 0.359002
800000 8 0.103294 0.087394 0.337970
250000 16 0.027534 0.026700 0.117818
150000 2 0.016700 0.016247 0.067814
750000 32 0.093384 0.083936 0.457522
400000 2 0.048440 0.043875 0.230774
400000 8 0.047252 0.042666 0.231654
100000 2 0.011345 0.010758 0.051994
550000 8 0.069242 0.059505 0.325064
300000 8 0.036375 0.032420 0.169706
950000 4 0.124100 0.109730 0.499179
400000 32 0.047394 0.044937 0.231302
350000 4 0.042757 0.037328 0.199568
950000 2 0.123582 0.111325 0.499536
1000000 2 0.119695 0.113513 0.529467
700000 2 0.091349 0.079090 0.358763
150000 8 0.016756 0.016215 0.067323
100000 4 0.012112 0.010769 0.050605
300000 4 0.036503 0.032521 0.169574
1000000 4 0.119321 0.108695 0.526792
900000 2 0.111453 0.097656 0.394748
450000 8 0.057061 0.048801 0.261397
900000 8 0.112066 0.102203 0.385935
650000 32 0.080443 0.075308 0.271774
850000 32 0.110939 0.094340 0.438851
1000000 16 0.120752 0.112558 0.527969
600000 16 0.075775 0.065896 0.363353
350000 16 0.043227 0.037742 0.199029
250000 32 0.027404 0.027974 0.117419
50000 8 0.004710 0.005564 0.016769
850000 8 0.109949 0.091440 0.444824
200000 4 0.021285 0.021228 0.092065
600000 8 0.075271 0.064690 0.358266
450000 16 0.056022 0.049321 0.261891
250000 8 0.027448 0.026903 0.117743
700000 8 0.089319 0.075957 0.358461
800000 2 0.103503 0.089658 0.337406
850000 2 0.109808 0.089949 0.443372
550000 4 0.069516 0.060313 0.325913
500000 16 0.062249 0.054481 0.249843
700000 16 0.089193 0.075896 0.362348
300000 16 0.036450 0.032385 0.169496
900000 16 0.111485 0.097971 0.387181
950000 32 0.123122 0.106608 0.498380
750000 4 0.092351 0.080841 0.456497
850000 16 0.109484 0.091379 0.440186
900000 4 0.111415 0.102793 0.388938
200000 32 0.020553 0.022583 0.091694
700000 4 0.089491 0.077204 0.358730
550000 2 0.068931 0.059041 0.327010
600000 32 0.075757 0.067994 0.355411
900000 32 0.113251 0.101179 0.384456
450000 32 0.055699 0.049223 0.263854
500000 32 0.062756 0.057202 0.248272
150000 4 0.016737 0.015788 0.070218
750000 8 0.093576 0.083140 0.463769
550000 32 0.069090 0.061559 0.326017
600000 2 0.076031 0.067275 0.358958
200000 16 0.020593 0.022102 0.092648
750000 16 0.092127 0.082228 0.455051
600000 4 0.075983 0.067617 0.357996
500000 2 0.062200 0.052793 0.250151
50000 4 0.004674 0.005311 0.017575
350000 32 0.042942 0.038898 0.199068
1000000 8 0.121032 0.108560 0.528518
300000 2 0.037891 0.032343 0.169176
100000 16 0.011885 0.011139 0.051374
950000 8 0.125014 0.108325 0.500005
50000 2 0.004674 0.005399 0.016613
650000 4 0.079520 0.073532 0.272113
50000 32 0.004733 0.007647 0.016856
350000 8 0.042812 0.037734 0.198914
250000 4 0.027512 0.026513 0.119293
150000 16 0.016767 0.016589 0.067661
800000 32 0.103207 0.088318 0.337250
950000 16 0.124232 0.109475 0.500613
800000 16 0.103082 0.087888 0.343945
400000 4 0.047078 0.042958 0.230622
550000 16 0.068985 0.060093 0.325384
500000 4 0.062525 0.052990 0.248547
150000 32 0.016733 0.017976 0.067670
100000 32 0.011371 0.012857 0.051442
250000 2 0.027389 0.027199 0.117568
750000 2 0.093109 0.083119 0.457150
450000 2 0.056151 0.048996 0.261579
650000 16 0.079134 0.070200 0.271170
100000 8 0.011331 0.010803 0.051183
200000 8 0.020569 0.021286 0.092101
1000000 32 0.119725 0.111445 0.529484
300000 32 0.036543 0.033551 0.168540
650000 2 0.080175 0.071716 0.269475
450000 4 0.056654 0.048611 0.266466
50000 16 0.004677 0.006017 0.016708
650000 8 0.080944 0.072036 0.269505
300000 32 0.036432 0.033773 0.169038
600000 4 0.077074 0.066065 0.358068
400000 16 0.047239 0.044182 0.229747
700000 16 0.089584 0.077349 0.362342
100000 2 0.011357 0.010814 0.051553
450000 4 0.055824 0.049276 0.262832
850000 8 0.109036 0.093167 0.452653
900000 2 0.115081 0.106540 0.386188
950000 32 0.123519 0.106530 0.500668
150000 8 0.016723 0.016300 0.067491
250000 2 0.027462 0.027461 0.120282
900000 32 0.114986 0.098694 0.385532
600000 32 0.076199 0.069051 0.359476
500000 32 0.062512 0.056356 0.249298
100000 8 0.011367 0.010701 0.050945
400000 32 0.047300 0.045549 0.232203
200000 4 0.021454 0.021441 0.092319
500000 8 0.062245 0.053464 0.247905
800000 16 0.103087 0.088139 0.338044
350000 16 0.042780 0.037489 0.202910
850000 4 0.109768 0.095196 0.444023
450000 2 0.057144 0.048102 0.261868
900000 8 0.114027 0.099162 0.384435
50000 4 0.004682 0.005400 0.016894
550000 32 0.069297 0.061153 0.323536
150000 32 0.016753 0.017423 0.067575
800000 8 0.103169 0.089203 0.339134
50000 8 0.004678 0.006398 0.016629
250000 8 0.027434 0.027110 0.117543
100000 32 0.011461 0.012913 0.051199
800000 2 0.102847 0.090843 0.339682
350000 4 0.042756 0.037664 0.200806
300000 16 0.036357 0.032325 0.169257
300000 4 0.036409 0.032649 0.168975
700000 4 0.089375 0.075083 0.358920
100000 4 0.011351 0.010400 0.050862
200000 32 0.020561 0.022922 0.091980
950000 8 0.123853 0.106837 0.499263
750000 2 0.092628 0.084478 0.457135
550000 16 0.069550 0.060055 0.325870
650000 8 0.079059 0.071390 0.271696
750000 4 0.091980 0.080388 0.454480
1000000 32 0.119414 0.110539 0.529841
200000 8 0.020781 0.021310 0.092641
950000 4 0.123283 0.106191 0.496886
50000 16 0.004678 0.006165 0.016646
300000 8 0.037733 0.033597 0.168579
200000 2 0.020602 0.021959 0.093805
650000 16 0.079265 0.070947 0.276264
650000 2 0.081419 0.075349 0.271947
400000 2 0.047112 0.046840 0.231046
550000 2 0.069217 0.061360 0.331881
150000 2 0.016730 0.016194 0.069056
850000 16 0.109125 0.093898 0.442399
850000 2 0.109235 0.095771 0.441851
950000 2 0.124078 0.109408 0.512390
500000 4 0.062556 0.053411 0.250618
800000 32 0.103185 0.088822 0.341634
850000 32 0.109490 0.094459 0.444444
900000 16 0.112243 0.099653 0.385841
1000000 4 0.119563 0.111756 0.526256
150000 4 0.016778 0.016226 0.069116
300000 2 0.036342 0.032505 0.168687
350000 32 0.043344 0.038611 0.200713
600000 8 0.076021 0.066075 0.359422
500000 16 0.062244 0.054302 0.249579
1000000 8 0.120807 0.109044 0.530092
700000 8 0.091609 0.076372 0.359977
50000 32 0.004678 0.007045 0.017037
250000 16 0.027432 0.027708 0.118073
750000 16 0.092298 0.082148 0.454603
50000 2 0.004677 0.005140 0.016637
800000 4 0.103140 0.090084 0.336597
650000 4 0.079695 0.069521 0.270278
150000 16 0.016837 0.016758 0.067882
