size threads sequential_time parallel_time builtin_time
500000 4 0.067145 0.053557 0.187940
300000 2 0.038838 0.032694 0.110735
850000 32 0.118195 0.116423 0.340960
300000 16 0.038994 0.041761 0.110293
350000 8 0.045569 0.045792 0.129120
550000 2 0.074409 0.060614 0.210908
400000 4 0.053044 0.048836 0.148169
800000 32 0.110265 0.106901 0.311452
650000 16 0.088546 0.079557 0.249997
750000 4 0.103046 0.087070 0.290971
700000 2 0.097743 0.077624 0.269632
300000 8 0.039596 0.036769 0.110302
250000 2 0.032296 0.031545 0.089104
600000 32 0.082365 0.089142 0.228713
100000 32 0.012955 0.049489 0.034328
500000 16 0.067296 0.065337 0.189705
100000 4 0.012995 0.012322 0.035132
50000 4 0.006598 0.009850 0.016753
400000 16 0.053656 0.055032 0.150429
800000 16 0.110474 0.097249 0.317548
750000 16 0.103339 0.096697 0.290143
750000 8 0.102573 0.088677 0.291261
800000 2 0.109494 0.093938 0.311885
400000 32 0.054056 0.073391 0.154802
600000 2 0.083171 0.071160 0.228113
750000 32 0.103874 0.101441 0.291709
450000 32 0.060439 0.074281 0.167808
850000 2 0.117505 0.098309 0.333439
700000 32 0.097042 0.099685 0.270021
1000000 2 0.141142 0.122738 0.397536
800000 8 0.111616 0.093964 0.311608
950000 32 0.133013 0.124419 0.376940
300000 32 0.040814 0.065108 0.109379
600000 4 0.082014 0.071939 0.229692
950000 16 0.133411 0.116384 0.384077
50000 2 0.007820 0.007317 0.015823
650000 4 0.088321 0.076765 0.247989
900000 4 0.125167 0.106788 0.353568
550000 16 0.073677 0.071620 0.208582
200000 4 0.024957 0.024739 0.072068
500000 2 0.066775 0.057187 0.187138
200000 32 0.026106 0.057260 0.072030
850000 4 0.118731 0.096547 0.333606
500000 8 0.068518 0.056448 0.187103
350000 2 0.045686 0.042471 0.130442
800000 4 0.110559 0.094356 0.310936
200000 2 0.025468 0.023512 0.069545
400000 16 0.053830 0.058555 0.146071
700000 32 0.096783 0.105415 0.272013
800000 8 0.111207 0.093749 0.311742
250000 16 0.031995 0.034914 0.090676
150000 2 0.018469 0.020671 0.053236
750000 32 0.105621 0.106007 0.297944
400000 2 0.053500 0.048817 0.147627
400000 8 0.053087 0.049874 0.148086
100000 2 0.014447 0.012150 0.036041
550000 8 0.074009 0.067360 0.207483
300000 8 0.040216 0.036298 0.108980
950000 4 0.132524 0.109058 0.376758
400000 32 0.052636 0.076276 0.151140
350000 4 0.047502 0.039256 0.129369
950000 2 0.133557 0.115182 0.375159
1000000 2 0.139363 0.120588 0.395460
700000 2 0.096890 0.077115 0.275118
150000 8 0.018402 0.023593 0.051096
100000 4 0.012765 0.013271 0.033377
300000 4 0.040111 0.036777 0.109638
1000000 4 0.142506 0.121791 0.396358
900000 2 0.125522 0.113276 0.354559
450000 8 0.060672 0.057597 0.167255
900000 8 0.125898 0.103987 0.353735
650000 32 0.089099 0.093529 0.259695
850000 32 0.117835 0.109389 0.334167
1000000 16 0.140583 0.117828 0.395404
600000 16 0.082051 0.083911 0.228821
350000 16 0.046142 0.049839 0.130358
250000 32 0.032224 0.049280 0.093530
50000 8 0.007803 0.012687 0.016974
850000 8 0.118209 0.092315 0.335614
200000 4 0.025772 0.023183 0.070613
600000 8 0.082481 0.072993 0.228414
450000 16 0.062300 0.059920 0.167912
250000 8 0.032178 0.032029 0.090549
700000 8 0.096385 0.081602 0.271422
800000 2 0.110489 0.088423 0.312157
850000 2 0.118515 0.104661 0.342891
550000 4 0.074625 0.067013 0.208027
500000 16 0.066938 0.065424 0.188621
700000 16 0.097423 0.083451 0.271501
300000 16 0.039820 0.044552 0.108175
900000 16 0.125590 0.106694 0.355318
950000 32 0.133992 0.124871 0.377029
750000 4 0.103206 0.091144 0.291442
850000 16 0.117241 0.105025 0.334195
900000 4 0.125673 0.105580 0.354404
200000 32 0.025943 0.045293 0.072256
700000 4 0.095862 0.086673 0.269556
550000 2 0.073899 0.068387 0.209159
600000 32 0.080937 0.090389 0.235191
900000 32 0.126064 0.115012 0.362730
450000 32 0.061793 0.072664 0.167577
500000 32 0.067067 0.072071 0.188953
150000 4 0.019748 0.020461 0.052609
750000 8 0.103767 0.088233 0.299137
550000 32 0.074034 0.078407 0.214680
600000 2 0.081328 0.073101 0.236164
200000 16 0.025430 0.034112 0.071679
750000 16 0.105628 0.084997 0.298325
600000 4 0.081984 0.072983 0.228148
500000 2 0.067307 0.054865 0.188047
50000 4 0.006992 0.006456 0.016619
350000 32 0.045937 0.062413 0.129019
1000000 8 0.140355 0.114367 0.397667
300000 2 0.038840 0.035352 0.110557
100000 16 0.012161 0.026085 0.034795
950000 8 0.134509 0.109919 0.376347
50000 2 0.006254 0.005856 0.016753
650000 4 0.088378 0.072266 0.249284
50000 32 0.005704 0.048151 0.017838
350000 8 0.047877 0.044719 0.129806
250000 4 0.031751 0.028053 0.089428
150000 16 0.019478 0.030717 0.052603
800000 32 0.110943 0.110361 0.316730
950000 16 0.134108 0.109438 0.375386
800000 16 0.110753 0.094560 0.311223
400000 4 0.053983 0.049303 0.148835
550000 16 0.074086 0.069155 0.209502
500000 4 0.066943 0.058799 0.188425
150000 32 0.018653 0.044314 0.052583
100000 32 0.012997 0.047240 0.034048
250000 2 0.032098 0.029050 0.091911
750000 2 0.102923 0.086659 0.290374
450000 2 0.060270 0.054347 0.167439
650000 16 0.088985 0.076075 0.251287
100000 8 0.014616 0.016516 0.033376
200000 8 0.024978 0.029012 0.069338
1000000 32 0.140201 0.131847 0.399174
300000 32 0.040736 0.061760 0.108501
650000 2 0.089931 0.077514 0.250724
450000 4 0.060707 0.051044 0.167916
50000 16 0.006571 0.018433 0.016644
650000 8 0.088381 0.076121 0.251721
300000 32 0.040452 0.055847 0.108926
600000 4 0.082850 0.075467 0.228726
400000 16 0.053051 0.051099 0.147163
700000 16 0.096743 0.084420 0.271478
100000 2 0.013059 0.013444 0.033534
450000 4 0.060644 0.051340 0.168579
850000 8 0.118768 0.097190 0.335693
900000 2 0.126711 0.106507 0.354265
950000 32 0.133073 0.123312 0.379121
150000 8 0.020392 0.022623 0.051511
250000 2 0.032507 0.028917 0.089803
900000 32 0.126348 0.123352 0.355870
600000 32 0.083369 0.088811 0.229390
500000 32 0.067948 0.082114 0.188737
100000 8 0.012863 0.013943 0.033410
400000 32 0.053891 0.073631 0.147540
200000 4 0.025256 0.023216 0.072598
500000 8 0.066941 0.055777 0.188393
800000 16 0.110734 0.100039 0.312322
350000 16 0.046565 0.047770 0.129072
850000 4 0.118648 0.094984 0.335116
450000 2 0.061074 0.054850 0.167984
900000 8 0.126458 0.104630 0.365637
50000 4 0.006247 0.007540 0.015527
550000 32 0.074125 0.087362 0.207935
150000 32 0.020024 0.042281 0.052377
800000 8 0.110686 0.092029 0.312008
50000 8 0.006439 0.013245 0.016622
250000 8 0.031917 0.030571 0.091412
100000 32 0.012616 0.041351 0.035006
800000 2 0.109958 0.097725 0.317338
350000 4 0.046651 0.043991 0.129541
300000 16 0.040240 0.041066 0.109793
300000 4 0.040918 0.036921 0.109717
700000 4 0.096623 0.078911 0.270858
100000 4 0.012665 0.013115 0.035167
200000 32 0.025539 0.047243 0.070680
